CsppMachineType;1001;ObjectType
CsppMachineType_ParameterSet;5001;Object
CsppMachineType_ParameterSet_VariableName;6001;Variable
CsppMachineType_ParameterSet_ConfigurationName;6002;Variable
CsppMachineType_CommIfSection;5002;Object
CsppMachineType_CommIfSection_CommIfVariablePart;5003;Object
CsppMachineType_CommIfSection_CommIfConfigurationPart;5004;Object
CsppMachineType_CommIfSection_VariableOrConfigurationName;6003;Variable
CsppMachineType_CommIfSection_CommIfVariablePart_VariableName;6004;Variable
CsppMachineType_CommIfSection_CommIfConfigurationPart_ConfigurationName;6005;Variable
CsppAnalogItemType;2001;VariableType
CsppAnalogItemType_Duration;6006;Variable
Server_Namespaces_http___opcfoundation_org_UA_CSPPlusForMachine_;5005;Object
Server_Namespaces_http___opcfoundation_org_UA_CSPPlusForMachine__IsNamespaceSubset;6007;Variable
Server_Namespaces_http___opcfoundation_org_UA_CSPPlusForMachine__NamespacePublicationDate;6008;Variable
Server_Namespaces_http___opcfoundation_org_UA_CSPPlusForMachine__NamespaceUri;6009;Variable
Server_Namespaces_http___opcfoundation_org_UA_CSPPlusForMachine__NamespaceVersion;6010;Variable
Server_Namespaces_http___opcfoundation_org_UA_CSPPlusForMachine__StaticNodeIdIdentifierTypes;6011;Variable
Server_Namespaces_http___opcfoundation_org_UA_CSPPlusForMachine__StaticNumericNodeIdRange;6012;Variable
Server_Namespaces_http___opcfoundation_org_UA_CSPPlusForMachine__StaticStringNodeIdPattern;6013;Variable
