Id,Name,Link,ConformanceUnits
1002,ProductionParametersType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/7","OPC 40084-2 Basic;"
1003,ExtrusionLine_InterfaceType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/6.1","OPC 40084-2 Basic;"
1006,RequestAddMaterialEventType,"",""
1007,JobType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.3.1","OPC 40084-2 Jobs;"
1008,JobStatusChangedEventType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.3.17","OPC 40084-2 Jobs;"
1009,UnitFinishedEventType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.3.18","OPC 40084-2 Jobs;"
1010,LotFinishedEventType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.3.19","OPC 40084-2 Jobs;"
1011,JobGroupType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.1","OPC 40084-2 Jobs;"
1012,JobGroupStatusChangedEventType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.23","OPC 40084-2 Jobs;"
1013,JobGroupsType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.1","OPC 40084-2 Jobs;"
3003,MaterialMappingType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.6",""
5024,http://opcfoundation.org/UA/PlasticsRubber/Extrusion_v2/ExtrusionLine/,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/11.1",""
7006,AddJob,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.18",""
7007,RemoveJobById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.19",""
7008,StartJobById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.20",""
7009,InterruptJobById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.21",""
7010,FinishJobById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.22",""
7011,AddJob,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.18",""
7023,FinishJobById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.22",""
7024,InterruptJobById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.21",""
7025,RemoveJobById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.19",""
7026,StartJobById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.2.20",""
7027,AddJobGroup,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.3",""
7028,RemoveJobGroupById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.4",""
7029,StartJobGroupById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.5",""
7030,InterruptJobGroupById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.6",""
7031,FinishJobGroupById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.7",""
7034,AddJobGroup,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.3",""
7035,RemoveJobGroupById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.4",""
7036,FinishJobGroupById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.7",""
7037,InterruptJobGroupById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.6",""
7038,StartJobGroupById,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/ExtrusionLine/v200/docs/8.1.5",""
