Id,Name,Link,ConformanceUnits
1002,ExtrusionDeviceType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/6.1","Extrusion Device;"
1003,GapType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/9.4.1",""
1004,GapsType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/9.3",""
1005,RollType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/9.2.1",""
1006,RollsType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/9.1",""
1007,RollBendingType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/9.2.8",""
1008,RollPeripheralDevicesType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/9.2.7",""
1009,ExtrusionExecutingSubState_StateMachineType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/6.3.2","Extrusion Device;"
1010,ExtrusionMachineryItemState_StateMachineType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/6.3.1",""
1016,ExtrusionTemperatureZoneType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/8.2.1",""
1017,ExtrusionTemperatureZonesType,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/8.1",""
3001,ExtrusionMessageClassificationEnumeration,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/7",""
5025,http://opcfoundation.org/UA/PlasticsRubber/Extrusion_v2/GeneralTypes/,"https://reference.opcfoundation.org/v105/PlasticsRubber/Extrusion/GeneralTypes/v200/docs/11.1",""
