AFCType,1002,ObjectType
AFCStateType,2001,VariableType
AFCStateEnum,3002,DataType
AFCNormalRunningDirectionEnum,3004,DataType
Server_Namespaces_http___opcfoundation_org_UA_Mining_TransportDumping_ArmouredFaceConveyor_,5001,Object
AFCType_ParameterSet,5002,Object
AFCType_MiningEquipmentIdentification,5003,Object
AFCType_MiningEquipmentIdentification_DeviceClass,6001,Variable
AFCType_MiningEquipmentIdentification_Manufacturer,6002,Variable
AFCType_MiningEquipmentIdentification_ManufacturerUri,6003,Variable
Server_Namespaces_http___opcfoundation_org_UA_Mining_TransportDumping_ArmouredFaceConveyor__IsNamespaceSubset,6004,Variable
Server_Namespaces_http___opcfoundation_org_UA_Mining_TransportDumping_ArmouredFaceConveyor__NamespacePublicationDate,6005,Variable
Server_Namespaces_http___opcfoundation_org_UA_Mining_TransportDumping_ArmouredFaceConveyor__NamespaceUri,6006,Variable
Server_Namespaces_http___opcfoundation_org_UA_Mining_TransportDumping_ArmouredFaceConveyor__NamespaceVersion,6007,Variable
Server_Namespaces_http___opcfoundation_org_UA_Mining_TransportDumping_ArmouredFaceConveyor__StaticNodeIdTypes,6008,Variable
Server_Namespaces_http___opcfoundation_org_UA_Mining_TransportDumping_ArmouredFaceConveyor__StaticNumericNodeIdRange,6009,Variable
Server_Namespaces_http___opcfoundation_org_UA_Mining_TransportDumping_ArmouredFaceConveyor__StaticStringNodeIdPattern,6010,Variable
TypeDictionary_BinarySchema,6012,Variable
TypeDictionary_BinarySchema_NamespaceUri,6013,Variable
TypeDictionary_XmlSchema,6014,Variable
TypeDictionary_XmlSchema_NamespaceUri,6015,Variable
AFCType_MiningEquipmentIdentification_Model,6016,Variable
AFCType_MiningEquipmentIdentification_ProductInstanceUri,6017,Variable
AFCType_MiningEquipmentIdentification_SerialNumber,6018,Variable
AFCStateEnum_EnumValues,6019,Variable
AFCNormalRunningDirectionEnum_EnumValues,6020,Variable
AFCStateType_AFCNormalRunningDirection,6021,Variable
AFCType_MiningEquipmentIdentification_AssetId,6022,Variable
AFCType_ParameterSet_AFCState,6025,Variable
AFCType_ParameterSet_Load,6026,Variable
AFCType_ParameterSet_AFCState_AFCNormalRunningDirection,6027,Variable
AFCType_ParameterSet_Load_EngineeringUnits,6028,Variable
AFCType_ParameterSet_Load_EURange,6029,Variable
