ZoneAlarmType,1002,ObjectType
TemperatureRiseMonitoringType,1003,ObjectType
HeatUpType,1004,ObjectType
ControllerType,1005,ObjectType
ZoneType,1006,ObjectType
MaintenanceInformationType,1007,ObjectType
ZonesType,1008,ObjectType
OperationType,1009,ObjectType
HRD_InterfaceType,1010,ObjectType
HRDTemperatureType,1011,ObjectType
ControllerTypeEnumeration,3002,DataType
ZoneStatusEnumeration,3003,DataType
TimeMethodPIDParametersDataType,3005,DataType
ZoneType_Temperature,5001,Object
ZoneType_Controller,5002,Object
ZoneType_HeatUp,5003,Object
ZoneType_TemperatureRiseMonitoring,5004,Object
MaintenanceInformationType_Heating,5005,Object
MaintenanceInformationType_SafetyTest,5006,Object
MaintenanceInformationType_CoolingFan,5007,Object
ZonesType_Zone__Nr__Temperature,5008,Object
ZonesType_Zone__Nr_,5009,Object
ZonesType_Zone__Nr__Controller,5010,Object
ZonesType_Zone__Nr__HeatUp,5011,Object
HRD_InterfaceType_Zones_Zone__Nr__Temperature,5012,Object
ZonesType_Zone__Nr__TemperatureRiseMonitoring,5013,Object
ZoneType_Temperature_ClosedLoopControl,5014,Object
HRD_InterfaceType_Identification,5015,Object
HRD_InterfaceType_MachineConfiguration,5016,Object
HRD_InterfaceType_Operation,5017,Object
HRD_InterfaceType_Zones,5018,Object
HRD_InterfaceType_Zones_Zone__Nr_,5019,Object
HRD_InterfaceType_Zones_Zone__Nr__Controller,5020,Object
ZonesType_Zone__Nr__Temperature_ClosedLoopControl,5021,Object
HRD_InterfaceType_Diagnostics,5022,Object
HRD_InterfaceType_MaintenanceInformation,5023,Object
HRD_InterfaceType_MaintenanceInformation_CoolingFan,5024,Object
HRD_InterfaceType_MaintenanceInformation_Heating,5025,Object
HRD_InterfaceType_MaintenanceInformation_SafetyTest,5026,Object
HRD_InterfaceType_Zones_Zone__Nr__Temperature_ClosedLoopControl,5027,Object
DefaultBinary,5028,Object
DefaultXml,5029,Object
DefaultJson,5030,Object
HRD_InterfaceType_Zones_Zone__Nr__HeatUp,5031,Object
HRD_InterfaceType_Zones_Zone__Nr__TemperatureRiseMonitoring,5032,Object
